tag_norm,tag_type,canonical_genre,notes
brazilian,geography,,
brazil,geography,,
brasil,geography,,
alternative,genre_ambiguous,,Too broad to map safely to a single genre
american,geography,,
indie,genre_ambiguous,,Too broad to map safely to a single genre
british,geography,,
favourite albums,user_generated,,
female vocalists,descriptor,,
russian,geography,,
all,other,,
usa,geography,,
male vocalists,descriptor,,
acoustic,descriptor,,
guitar,instrumentation,,
german,geography,,
rap,genre,rap,Curated genre outside the MusicBrainz vocabulary
russia,geography,,
composer,role,,
piano,instrumentation,,
japanese,geography,,
soundtrack,context,,
argentina,geography,,
fusion,genre_ambiguous,,Could refer to jazz fusion or another fusion style
swedish,geography,,
retrowave,genre,retrowave,Curated genre outside the MusicBrainz vocabulary
french,geography,,
1001 albums you must hear before you die,user_generated,,
world,genre_ambiguous,,Too broad to map safely to world music
masterpiece,user_generated,,
totec radio,user_generated,,
stoner,genre_ambiguous,,Could refer to stoner rock or stoner metal
brazilian music,geography,,
choral,genre,choral,Curated musical genre/style
hardcore,genre_ambiguous,,Could refer to hardcore punk or electronic hardcore
anime,context,,
italian,geography,,
orthodox,context,,Religious or liturgical context
4,user_generated,,
progressive death metal,genre,progressive death metal,
classical guitar,genre,classical guitar,
russian rock,genre,russian rock,
early music,genre,early music,
choir,descriptor,,Ensemble or vocal-format descriptor
3,user_generated,,
greek,geography,,
byzantine,genre_ambiguous,,May refer to Byzantine music or broader cultural context
folklore argentino,genre,folklore argentino,
video game music,context,,Media context rather than stylistic genre
christian,context,,Religious context
brazilian rock,genre,brazilian rock,
live,descriptor,,
baile funk,genre,baile funk,
brazilian country,genre,brazilian country,
romantic,descriptor,,
albums,user_generated,,
portugal,geography,,
rock argentino,genre,rock argentino,
spanish,geography,,
france,geography,,
nativista,genre,nativista,
apocalyptic folk,genre,apocalyptic folk,
nordeste,geography,,
cover,descriptor,,
spain,geography,,
oldies,era,,
sacred music,context,,Religious or liturgical context
neoclassical,genre_ambiguous,,Meaning varies strongly by musical context
folklore,genre_ambiguous,,Broad folk descriptor
prog,genre_ambiguous,,Could refer to progressive rock or progressive metal
vinyl,user_generated,,
nordic folk,genre,nordic folk,
boi,unknown,,
guitar virtuoso,descriptor,,
galiza,geography,,
math metal,genre,math metal,
breton,geography,,
belgium,geography,,
jojo,context,,
japan,geography,,
musica brasileira,geography,,
2018 releases,era,,
greece,geography,,
pagan metal,genre,pagan metal,
cuba,geography,,
queen,unknown,,
dbdbdbdbdbdbdbdbdbdbdb,other,,
soviet,geography,,
blackened thrash metal,genre,blackened thrash metal,
uk,geography,,
italy,geography,,
cuban,geography,,
album,user_generated,,
thrash,genre,thrash metal,Common shorthand
clube da esquina,context,,Brazilian musical movement or scene
my albums,user_generated,,
3-5,user_generated,,
