date,platform,source,campaign,spend,impressions,clicks,platform_conversions
2025-01-01,Google Ads,Google Ads,Search | Interior Painting,182.21,361,25,1
2025-01-01,Google Ads,Google Ads,Search | Exterior Painting,43.21,84,5,0
2025-01-01,Google Ads,Google Ads,Search | Cabinet Painting,34.92,79,5,0
2025-01-01,Google Ads,Google Ads,Search | Drywall Repair,42.64,124,8,0
2025-01-01,Google Ads,Google Ads,Search | Minor Remodeling,201.38,401,23,1
2025-01-01,Meta,Facebook Ads,Meta | Home Refresh,15.33,329,5,0
2025-01-01,Meta,Facebook Ads,Meta | Free Estimate,23.9,579,11,0
2025-01-02,Google Ads,Google Ads,Search | Interior Painting,150.2,296,18,1
2025-01-02,Google Ads,Google Ads,Search | Exterior Painting,409.82,871,50,1
2025-01-02,Google Ads,Google Ads,Search | Cabinet Painting,7.07,15,1,0
2025-01-02,Google Ads,Google Ads,Search | Drywall Repair,7.63,14,1,0
2025-01-02,Google Ads,Google Ads,Search | Minor Remodeling,130.91,251,12,0
2025-01-02,Meta,Facebook Ads,Meta | Home Refresh,69.75,1863,28,1
2025-01-02,Meta,Facebook Ads,Meta | Free Estimate,61.65,1390,29,1
2025-01-03,Google Ads,Google Ads,Search | Interior Painting,231.69,651,33,2
2025-01-03,Google Ads,Google Ads,Search | Exterior Painting,20.29,49,3,0
2025-01-03,Google Ads,Google Ads,Search | Cabinet Painting,97.97,202,14,2
2025-01-03,Google Ads,Google Ads,Search | Drywall Repair,73.73,176,12,0
2025-01-03,Google Ads,Google Ads,Search | Minor Remodeling,23.23,37,2,0
2025-01-03,Meta,Facebook Ads,Meta | Home Refresh,66.88,1434,24,1
2025-01-03,Meta,Facebook Ads,Meta | Free Estimate,66.8,1654,32,0
2025-01-04,Google Ads,Google Ads,Search | Interior Painting,11.12,15,1,0
2025-01-04,Google Ads,Google Ads,Search | Exterior Painting,229.18,523,34,1
2025-01-04,Google Ads,Google Ads,Search | Cabinet Painting,85.73,164,12,0
2025-01-04,Google Ads,Google Ads,Search | Drywall Repair,15.81,41,3,0
2025-01-04,Google Ads,Google Ads,Search | Minor Remodeling,18.51,36,2,0
2025-01-04,Meta,Facebook Ads,Meta | Home Refresh,115.42,2449,39,1
2025-01-04,Meta,Facebook Ads,Meta | Free Estimate,13.19,302,6,0
2025-01-05,Google Ads,Google Ads,Search | Interior Painting,34.53,72,5,0
2025-01-05,Google Ads,Google Ads,Search | Exterior Painting,332.34,652,44,3
2025-01-05,Google Ads,Google Ads,Search | Cabinet Painting,5.0,17,1,0
2025-01-05,Google Ads,Google Ads,Search | Drywall Repair,122.27,351,24,1
2025-01-05,Google Ads,Google Ads,Search | Minor Remodeling,49.93,99,6,0
2025-01-05,Meta,Facebook Ads,Meta | Home Refresh,112.71,2494,42,1
2025-01-05,Meta,Facebook Ads,Meta | Free Estimate,19.72,508,10,0
2025-01-06,Google Ads,Google Ads,Search | Interior Painting,44.04,100,7,0
2025-01-06,Google Ads,Google Ads,Search | Exterior Painting,225.71,477,30,2
2025-01-06,Google Ads,Google Ads,Search | Cabinet Painting,130.72,359,21,1
2025-01-06,Google Ads,Google Ads,Search | Drywall Repair,86.79,229,16,1
2025-01-06,Google Ads,Google Ads,Search | Minor Remodeling,42.37,85,5,0
2025-01-06,Meta,Facebook Ads,Meta | Home Refresh,121.27,2341,41,2
2025-01-06,Meta,Facebook Ads,Meta | Free Estimate,130.51,3338,72,2
2025-01-07,Google Ads,Google Ads,Search | Interior Painting,92.76,201,13,1
2025-01-07,Google Ads,Google Ads,Search | Exterior Painting,211.55,480,29,2
2025-01-07,Google Ads,Google Ads,Search | Cabinet Painting,46.84,114,8,0
2025-01-07,Google Ads,Google Ads,Search | Drywall Repair,218.7,529,37,2
2025-01-07,Google Ads,Google Ads,Search | Minor Remodeling,77.93,123,7,0
2025-01-07,Meta,Facebook Ads,Meta | Home Refresh,104.64,1915,33,2
2025-01-07,Meta,Facebook Ads,Meta | Free Estimate,70.74,1447,35,1
2025-01-08,Google Ads,Google Ads,Search | Interior Painting,196.58,427,32,3
2025-01-08,Google Ads,Google Ads,Search | Exterior Painting,99.58,187,11,1
2025-01-08,Google Ads,Google Ads,Search | Cabinet Painting,98.71,216,13,1
2025-01-08,Google Ads,Google Ads,Search | Drywall Repair,160.18,419,27,2
2025-01-08,Google Ads,Google Ads,Search | Minor Remodeling,17.85,37,2,0
